	type	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol
25	1	7.0	0.25	0.32	9.0	0.046	56.0	245.0	0.9955	3.25	0.5	10.4
26	1	6.9	0.24	0.35	1.0	0.052	35.0	146.0	0.993	3.45	0.44	10.0
27	1	7.0	0.28	0.39	8.7	0.051	32.0	141.0	0.9961	3.38	0.53	10.5
28	1	7.4	0.27	0.48	1.1	0.047	17.0	132.0	0.9914	3.19	0.49	11.6
29	1	7.2	0.32	0.36	2.0	0.033	37.0	114.0	0.9906	3.1	0.71	12.3
30	1	8.5	0.24	0.39	10.4	0.044	20.0	142.0	0.9974	3.2	0.53	10.0
31	1	8.3	0.14	0.34	1.1	0.042	7.0	47.0	0.9934	3.47	0.4	10.2
32	1	7.4	0.25	0.36	2.05	0.05	31.0	100.0	0.992	3.19	0.44	10.8
33	1	6.2	0.12	0.34	5.444326404926867	0.045	43.0	117.0	0.9939	3.42	0.51	9.0
34	1	5.8	0.27	0.2	14.95	0.044	22.0	179.0	0.9962	3.37	0.37	10.2
35	1	7.3	0.28	0.43	1.7	0.08	21.0	123.0	0.9905	3.19	0.42	12.8
36	1	6.5	0.39	0.23	5.4	0.051	25.0	149.0	0.9934	3.24	0.35	10.0
37	1	7.0	0.33	0.32	1.2	0.053	38.0	138.0	0.9906	3.13	0.28	11.2
38	1	7.3	0.24	0.39	17.95	0.057	45.0	149.0	0.9999	3.21	0.36	8.6
39	1	7.3	0.24	0.39	17.95	0.057	45.0	149.0	0.9999	3.21	0.36	8.6
40	1	6.7	0.23	0.39	2.5	0.172	63.0	158.0	0.9937	3.11	0.36	9.4
41	1	6.7	0.24	0.39	2.9	0.173	63.0	157.0	0.9937	3.1	0.34	9.4
42	1	7.0	0.31	0.26	7.4	0.069	28.0	160.0	0.9954	3.13	0.46	9.8
43	1	6.6	0.24	0.27	1.4	0.057	33.0	152.0	0.9934	3.22	0.56	9.5
44	1	6.7	0.23	0.26	1.4	0.06	33.0	154.0	0.9934	3.24	0.56	9.5
45	1	7.4	0.18	0.31	1.4	0.058	38.0	167.0	0.9931	3.16	0.53	10.0
46	1	6.2	0.45	0.26	4.4	0.063	63.0	206.0	0.994	3.27	0.52	9.8
47	1	6.2	0.46	0.25	4.4	0.066	62.0	207.0	0.9939	3.25	0.52	9.8
48	1	7.0	0.31	0.26	7.4	0.069	28.0	160.0	0.9954	3.13	0.46	9.8
49	1	6.9	0.19	0.35	5.0	0.067	32.0	150.0	0.995	3.36	0.48	9.8
50	1	7.2	0.19	0.31	1.6	0.062	31.0	173.0	0.9917	3.35	0.44	11.7
51	1	6.6	0.25	0.29	1.1	0.068	39.0	124.0	0.9914	3.34	0.58	11.0
52	1	6.2	0.16	0.33	1.1	0.057	21.0	82.0	0.991	3.32	0.46	10.9
53	1	6.4	0.18	0.35	1.0	0.045	39.0	108.0	0.9911	3.31	0.35	10.9
54	1	6.8	0.2	0.59	0.9	0.147	38.0	132.0	0.993	3.218395499383477	0.38	9.1
55	1	6.9	0.25	0.35	1.3	0.039	29.0	191.0	0.9908	3.13	0.52	11.0
56	1	7.2	0.21	0.34	11.9	0.043	37.0	213.0	0.9962	3.09	0.5	9.6
57	1	6.0	0.19	0.26	12.4	0.048	50.0	147.0	0.9972	3.3	0.36	8.9
58	1	6.6	0.38	0.15	4.6	0.044	25.0	78.0	0.9931	3.11	0.38	10.2
59	1	7.4	0.2	0.36	1.2	0.038	44.0	111.0	0.9926	3.36	0.34	9.9
60	1	6.8	0.22	0.24	4.9	0.092	30.0	123.0	0.9951	3.03	0.46	8.6
61	1	6.0	0.19	0.26	12.4	0.048	50.0	147.0	0.9972	3.3	0.36	8.9
62	1	7.0	0.47	0.07	1.1	0.035	17.0	151.0	0.991	3.02	0.34	10.5
63	1	6.6	0.38	0.15	4.6	0.044	25.0	78.0	0.9931	3.11	0.38	10.2
64	1	7.2	0.24	0.27	1.4	0.038	31.0	122.0	0.9927	3.15	0.46	10.3
65	1	6.2	0.35	0.03	1.2	0.064	29.0	120.0	0.9934	3.22	0.54	9.1
66	1	6.4	0.26	0.24	6.4	0.04	27.0	124.0	0.9903	3.22	0.49	12.6
67	1	6.7	0.25	0.13	1.2	0.041	81.0	174.0	0.992	3.14	0.42	9.8
68	1	6.7	0.23	0.31	2.1	0.046	30.0	96.0	0.9926	3.33	0.64	10.7
69	1	7.4	0.24	0.29	10.1	0.05	21.0	105.0	0.9962	3.13	0.35	9.5
70	1	6.2	0.27	0.43	7.8	0.056	48.0	244.0	0.9956	3.1	0.51	9.0
71	1	6.8	0.3	0.23	4.6	0.061	50.5	238.5	0.9958	3.32	0.6	9.5
72	1	6.0	0.27	0.28	4.8	0.063	31.0	201.0	0.9964	3.69	0.71	10.0
73	1	8.6	0.23	0.46	1.0	0.054	9.0	72.0	0.9941	2.95	0.49	9.1
74	1	6.7	0.23	0.31	2.1	0.046	30.0	96.0	0.9926	3.33	0.64	10.7
75	1	7.4	0.24	0.29	10.1	0.05	21.0	105.0	0.9962	3.13	0.35	9.5
76	1	7.1	0.18	0.36	1.4	0.043	31.0	87.0	0.9898	3.26	0.37	12.7
77	1	7.0	0.32	0.34	1.3	0.042	20.0	69.0	0.9912	3.31	0.65	12.0
78	1	7.4	0.18	0.3	8.8	0.064	26.0	103.0	0.9961	2.94	0.56	9.3
79	1	6.7	0.54	0.28	5.4	0.06	21.0	105.0	0.9949	3.27	0.37	9.0
80	1	6.8	0.22	0.31	1.4	0.053	34.0	114.0	0.9929	3.39	0.77	10.6
81	1	7.1	0.2	0.34	16.0	0.05	51.0	166.0	0.9985	3.21	0.6	9.2
82	1	7.1	0.34	0.2	6.1	0.063	47.0	164.0	0.9946	3.17	0.42	10.0
83	1	7.3	0.22	0.3	8.2	0.047	42.0	207.0	0.9966	3.33	0.46	9.5
84	1	7.1	0.43	0.61	11.8	0.045	54.0	155.0	0.9974	3.11	0.45	8.7
85	1	7.1	0.44	0.62	11.8	0.044	52.0	152.0	0.9975	3.12	0.46	8.7
86	1	7.2	0.33969101556480197	0.63	11.0	0.044	55.0	156.0	0.9974	3.09	0.44	8.7
87	1	6.8	0.25	0.31	13.3	0.05	69.0	202.0	0.9972	3.22	0.48	9.7
88	1	7.1	0.43	0.61	11.8	0.045	54.0	155.0	0.9974	3.11	0.45	8.7
89	1	7.1	0.44	0.62	11.8	0.044	52.0	152.0	0.9975	3.12	0.46	8.7
90	1	7.2	0.39	0.63	11.0	0.044	55.0	156.0	0.9974	3.09	0.44	8.7
91	1	6.1	0.27	0.43	7.5	0.049	65.0	243.0	0.9957	3.12	0.47	9.0
92	1	6.9	0.24	0.33	1.7	0.035	47.0	136.0	0.99	3.26	0.4	12.6
93	1	6.9	0.21	0.33	1.8	0.034	48.0	136.0	0.9899	3.25	0.41	12.6
94	1	7.5	0.17	0.32	1.7	0.04	51.0	148.0	0.9916	3.21	0.44	11.5
95	1	7.1	0.26	0.29	12.4	0.044	62.0	240.0	0.9969	3.04	0.42	9.2
96	1	6.0	0.34	0.66	15.9	0.046	26.0	164.0	0.9979	3.14	0.5	8.8
97	1	8.6	0.265	0.36	1.2	0.034	15.0	80.0	0.9913	2.95	0.36	11.4
98	1	9.8	0.36	0.46	10.5	0.05604157043879908	4.0	83.0	0.9956	2.89	0.3	10.1
99	1	6.0	0.34	0.66	15.9	0.046	26.0	164.0	0.9979	3.14	0.5	8.8
100	1	7.4	0.25	0.37	13.5	0.06	52.0	192.0	0.9975	3.0	0.44	9.1
101	1	7.1	0.12	0.32	9.6	0.054	64.0	162.0	0.9962	3.4	0.41	9.4
102	1	6.0	0.21	0.24	12.1	0.05	55.0	164.0	0.997	3.34	0.39	9.4
103	1	7.5	0.305	0.4	18.9	0.059	44.0	170.0	1.0	2.99	0.46	9.0
104	1	7.4	0.25	0.37	13.5	0.06	52.0	192.0	0.9975	3.0	0.44	9.1
105	1	7.3	0.13	0.32	14.4	0.051	34.0	109.0	0.9974	3.2	0.35	9.2
106	1	7.1	0.12	0.32	9.6	0.054	64.0	162.0	0.9962	3.4	0.41	9.4
107	1	7.1	0.23	0.35	16.5	0.04	60.0	171.0	0.999	3.16	0.59	9.1
108	1	7.1	0.23	0.35	16.5	0.04	60.0	171.0	0.999	3.16	0.59	9.1
109	1	6.9	0.33	0.28	1.3	0.051	37.0	187.0	0.9927	3.27	0.6	10.3
110	1	6.5	0.17	0.54	8.5	0.082	64.0	163.0	0.9959	2.89	0.39	8.8
111	1	7.2	0.27	0.46	18.75	0.052	45.0	255.0	1.0	3.04	0.52	8.9
112	1	7.2	0.31	0.5	13.3	0.056	68.0	195.0	0.9982	3.01	0.47	9.2
113	1	6.7	0.41	0.34	9.2	0.049	29.0	150.0	0.9968	3.22	0.51	9.1
114	1	6.7	0.41	0.34	9.2	0.049	29.0	150.0	0.9968	3.22	0.51	9.1
115	1	5.5	0.485	0.0	1.5	0.065	8.0	103.0	0.994	3.63	0.4	9.7
116	1	6.0	0.31	0.24	3.3	0.041	25.0	143.0	0.9914	3.31	0.44	11.3
117	1	7.0	0.14	0.4	1.7	0.035	16.0	85.0	0.9911	3.19	0.42	11.8
118	1	7.2	0.31	0.5	13.3	0.056	68.0	195.0	0.9982	3.01	0.47	9.2
119	1	7.3	0.32	0.48	13.3	0.06	57.0	196.0	0.9982	3.04	0.5	9.2
120	1	5.9	0.36	0.04	5.7	0.046	21.0	87.0	0.9934	3.22	0.51	10.2
121	1	7.8	0.24	0.32	12.2	0.054	42.0	138.0	0.9984	3.01	0.54	8.8
122	1	7.4	0.16	0.31	6.85	0.059	31.0	131.0	0.9952	3.29	0.34	9.7
123	1	6.9	0.19	0.28	5.0	0.058	14.0	146.0	0.9952	3.29	0.36	9.1
124	1	6.4	0.13	0.47	1.6	0.092	40.0	158.0	0.9928	3.21	0.36	9.8
125	1	6.7	0.19	0.36	1.1	0.026	63.0	143.0	0.9912	3.27	0.48	11.0
126	1	7.4	0.39	0.23	7.0	0.033	29.0	126.0	0.994	3.14	0.42	10.5
127	1	6.5	0.24	0.32	7.6	0.038	48.0	203.0	0.9958	3.45	0.54	9.7
128	1	6.1	0.3	0.56	2.8	0.044	47.0	179.0	0.9924	3.3	0.57	10.9
129	1	6.1	0.3	0.56	2.7	0.046	46.0	184.0	0.9924	3.31	0.57	10.9
130	1	5.7	0.26	0.25	10.4	0.02	7.0	57.0	0.994	3.39	0.37	10.6
131	1	6.5	0.24	0.32	7.6	0.038	48.0	203.0	0.9958	3.45	0.54	9.7
132	1	6.5	0.425	0.4	13.1	0.038	59.0	241.0	0.9979	3.23	0.57	9.0
133	1	6.6	0.24	0.27	15.8	0.035	46.0	188.0	0.9982	3.24	0.51	9.2
134	1	6.8	0.27	0.22	8.1	0.034	55.0	203.0	0.9961	3.19	0.52	8.9
135	1	6.7	0.27	0.31	15.7	0.036	44.0	179.0	0.9979	3.26	0.56	9.6
136	1	8.2	0.23	0.4	1.2	0.027	36.0	121.0	0.992	3.12	0.38	10.7
137	1	7.1	0.37	0.67	10.5	0.045	49.0	155.0	0.9975	3.16	0.44	8.7
138	1	6.8	0.19	0.36	1.9	0.035	30.0	96.0	0.9917	3.15	0.54	10.8
139	1	8.1	0.28	0.39	1.9	0.029	18.0	79.0	0.9923	3.218395499383477	0.52	11.8
140	1	6.3	0.31	0.34	2.2	0.045	20.0	77.0	0.9927	3.3	0.43	10.2
141	1	7.1	0.37	0.67	10.5	0.045	49.0	155.0	0.9975	3.16	0.44	8.7
142	1	7.9	0.21	0.4	1.2	0.039	38.0	107.0	0.992	3.21	0.54	10.8
143	1	8.5	0.21	0.41	4.3	0.036	24.0	99.0	0.9947	3.18	0.53	9.7
144	1	8.1	0.2	0.4	2.0	0.037	19.0	87.0	0.9921	3.12	0.54	11.2
145	1	6.3	0.255	0.37	1.1	0.04	37.0	114.0	0.9905	3.0	0.39	10.9
146	1	5.6	0.16	0.27	1.4	0.044	53.0	168.0	0.9918	3.28	0.37	10.1
147	1	6.4	0.595	0.14	5.2	0.058	15.0	97.0	0.9951	3.38	0.36	9.0
148	1	6.3	0.34	0.33	4.6	0.034	19.0	80.0	0.9917	3.38	0.58	12.0
149	1	6.9	0.25	0.3	4.1	0.054	23.0	116.0	0.994	2.99	0.38	9.4
150	1	7.9	0.22	0.38	8.0	0.043	46.0	152.0	0.9934	3.12	0.32	11.5
151	1	7.6	0.18	0.46	10.2	0.055	58.0	135.0	0.9968	3.14	0.43	9.9
152	1	6.9	0.25	0.3	4.1	0.054	23.0	116.0	0.994	2.99	0.38	9.4
153	1	7.2	0.18	0.41	1.2	0.048	41.0	97.0	0.9919	3.14	0.45	10.4
154	1	8.2	0.23	0.4	7.5	0.049	12.0	76.0	0.9966	3.06	0.84	9.7
155	1	7.4	0.24	0.42	14.0	0.066	48.0	198.0	0.9979	2.89	0.42	8.9
156	1	7.4	0.24	0.42	14.0	0.066	48.0	198.0	0.9979	2.89	0.42	8.9
157	1	6.1	0.32	0.24	1.5	0.036	38.0	124.0	0.9898	3.29	0.42	12.4
158	1	5.2	0.44	0.04	1.4	0.036	43.0	119.0	0.9894	3.36	0.33	12.1
159	1	5.2	0.44	0.04	1.4	0.036	43.0	119.0	0.9894	3.36	0.33	12.1
160	1	6.1	0.32	0.24	1.5	0.036	38.0	124.0	0.9898	3.29	0.42	12.4
161	1	6.4	0.22	0.56	14.5	0.055	27.0	159.0	0.998	2.98	0.4	9.1
162	1	6.3	0.36	0.3	4.8	0.049	14.0	85.0	0.9932	3.28	0.39	10.6
163	1	7.4	0.24	0.42	14.0	0.066	48.0	198.0	0.9979	2.89	0.42	8.9
164	1	6.7	0.24	0.35	13.1	0.05	64.0	205.0	0.997	3.15	0.5	9.5
165	1	7.0	0.23	0.36	13.0	0.051	72.0	177.0	0.9972	3.16	0.49	9.8
166	1	8.4	0.27	0.46	8.7	0.048	39.0	197.0	0.9974	3.14	0.59	9.6
167	1	6.7	0.46	0.18	2.4	0.034	25.0	98.0	0.9896	3.08	0.44	12.6
168	1	7.5	0.29	0.31	8.95	0.055	20.0	151.0	0.9968	3.08	0.54	9.3
169	1	9.8	0.42	0.48	9.85	0.034	5.0	110.0	0.9958	2.87	0.29	10.0
170	1	7.1	0.3	0.46	1.5	0.066	29.0	133.0	0.9906	3.12	0.54	12.7
171	1	7.9	0.19	0.45	1.5	0.045	17.0	96.0	0.9917	3.13	0.39	11.0
172	1	7.6	0.48	0.37	0.8	0.037	4.0	100.0	0.9902	3.03	0.39	11.4
173	1	6.3	0.22	0.43	4.55	0.038	31.0	130.0	0.9918	3.35	0.33	11.5
174	1	7.2165793124710955	0.27	0.31	17.7	0.051	33.0	173.0	0.999	3.09	0.64	10.2
175	1	6.9	0.23	0.4	7.5	0.04	50.0	151.0	0.9927	3.11	0.27	11.4
176	1	7.2	0.32	0.47	5.1	0.044	19.0	65.0	0.991	3.03	0.41	12.6
177	1	5.9	0.23	0.3	12.9	0.054	57.0	170.0	0.9972	3.28	0.39	9.4
178	1	6.0	0.67	0.07	1.2	0.06	9.0	108.0	0.9931	3.11	0.35	8.7
179	1	6.4	0.25	0.32	5.5	0.049	41.0	176.0	0.995	3.19	0.68	9.2
180	1	6.4	0.33	0.31	5.5	0.048	42.0	173.0	0.9951	3.19	0.66	9.3
181	1	7.1	0.34	0.15	1.2	0.053	61.0	183.0	0.9936	3.09	0.43	9.2
182	1	6.8	0.28	0.4	22.0	0.048	48.0	167.0	1.001	2.93	0.5	8.7
183	1	6.9	0.27	0.4	14.0	0.05	64.0	227.0	0.9979	3.18	0.58	9.6
184	1	6.8	0.26	0.56	11.9	0.043	64.0	226.0	0.997	3.02	0.63	9.3
185	1	6.8	0.29	0.56	11.9	0.043	66.0	230.0	0.9972	3.02	0.63	9.3
186	1	6.7	0.24	0.41	9.4	0.04	49.0	166.0	0.9954	3.12	0.61	9.9
187	1	5.9	0.3	0.23	4.2	0.038	42.0	119.0	0.9924	3.15	0.5	11.0
188	1	6.8	0.53	0.35	3.8	0.034	26.0	109.0	0.9906	3.26	0.57	12.7
189	1	6.5	0.28	0.28	8.5	0.047	54.0	210.0	0.9962	3.09	0.54	8.9
190	1	6.6	0.28	0.28	8.5	0.052	55.0	211.0	0.9962	3.09	0.55	8.9
191	1	6.8	0.28	0.4	22.0	0.048	48.0	167.0	1.001	2.93	0.5	8.7
192	1	6.8	0.28	0.36	8.0	0.045	28.0	123.0	0.9928	3.02	0.37	11.4
193	1	6.6	0.15	0.34	5.1	0.055	34.0	125.0	0.9942	3.36	0.42	9.6
194	1	6.4	0.29	0.44	3.6	0.2	75.0	181.0	0.9942	3.02	0.41	9.1
195	1	6.4	0.3	0.45	3.5	0.197	76.0	180.0	0.9942	3.02	0.39	9.1
196	1	6.4	0.29	0.44	3.6	0.197	75.0	183.0	0.9942	3.01	0.38	9.1
197	1	6.8	0.26	0.24	7.8	0.052	54.0	214.0	0.9961	3.13	0.47	8.9
198	1	7.1	0.32	0.24	13.1	0.05	52.0	204.0	0.998	3.1	0.49	8.8
199	1	6.8	0.26	0.24	7.8	0.052	54.0	214.0	0.9961	3.13	0.47	8.9
200	1	6.8	0.27	0.26	16.1	0.049	55.0	196.0	0.9984	3.15	0.5	9.3
201	1	7.1	0.32	0.24	13.1	0.05	52.0	204.0	0.998	3.1	0.49	8.8
202	1	6.9	0.54	0.32	13.2	0.05	53.0	236.0	0.9973	3.2	0.5	9.6
203	1	6.8	0.26	0.34	13.9	0.034	39.0	134.0	0.9949	3.33	0.53	12.0
204	1	5.8	0.28	0.35	2.3	0.053	36.0	114.0	0.9924	3.28	0.5	10.2
205	1	6.4	0.21	0.5	11.6	0.042	45.0	153.0	0.9972	3.15	0.43	8.8
206	1	7.0	0.16	0.32	8.3	0.045	38.0	126.0	0.9958	3.21	0.34	9.2
207	1	10.2	0.44	0.88	6.2	0.049	20.0	124.0	0.9968	2.99	0.51	9.9
208	1	6.8	0.57	0.29	2.2	0.04	15.0	77.0	0.9938	3.32	0.74	10.2
209	1	6.1	0.4	0.31	0.9	0.048	23.0	170.0	0.993	3.22	0.77	9.5
210	1	5.6	0.245	0.25	9.7	0.032	12.0	68.0	0.994	3.31	0.34	10.5
211	1	6.8	0.18	0.38	1.4	0.038	35.0	111.0	0.9918	3.32	0.59	11.2
212	1	7.0	0.16	0.32	8.3	0.045	38.0	126.0	0.9958	3.21	0.34	9.2
213	1	6.7	0.13	0.29	5.3	0.051	31.0	122.0	0.9944	3.44	0.37	9.7
214	1	6.2	0.25	0.25	1.4	0.03	35.0	105.0	0.9912	3.3	0.44	11.1
215	1	5.8	0.26	0.24	9.2	0.044	55.0	152.0	0.9961	3.31	0.38	9.4
216	1	7.5	0.27	0.36	7.0	0.036	45.0	164.0	0.9939	3.03	0.33	11.0
217	1	5.8	0.26	0.24	9.2	0.044	55.0	152.0	0.9961	3.31	0.38	9.4
218	1	5.7	0.28	0.24	17.5	0.044	60.0	167.0	0.9989	3.31	0.44	9.4
219	1	7.5	0.23	0.36	7.0	0.036	43.0	161.0	0.9938	3.04	0.32	11.0
220	1	7.5	0.27	0.36	7.0	0.036	45.0	164.0	0.9939	3.03	0.33	11.0
221	1	7.2	0.685	0.21	9.5	0.07	33.0	172.0	0.9971	3.0	0.55	9.1
222	1	6.2	0.25	0.25	1.4	0.03	35.0	105.0	0.9912	3.3	0.44	11.1
223	1	6.5	0.19	0.3	0.8	0.043	33.0	144.0	0.9936	3.42	0.39	9.1
224	1	6.3	0.495	0.22	1.8	0.046	31.0	140.0	0.9929	3.39	0.531215154782073	10.4
225	1	7.1	0.24	0.41	17.8	0.046	39.0	145.0	0.9998	3.32	0.39	8.7
226	1	6.4	0.17	0.32	2.4	0.048	41.0	200.0	0.9938	3.5	0.5	9.7
227	1	7.1	0.25	0.32	10.3	0.041	66.0	272.0	0.9969	3.17	0.52	9.1
228	1	6.4	0.17	0.32	2.4	0.048	41.0	200.0	0.9938	3.5	0.5	9.7
229	1	7.1	0.24	0.41	17.8	0.046	39.0	145.0	0.9998	3.32	0.39	8.7
230	1	6.8	0.64	0.08	9.7	0.062	26.0	142.0	0.9972	3.37	0.46	8.9
231	1	8.3	0.28	0.4	7.8	0.041	38.0	194.0	0.9976	3.34	0.51	9.6
232	1	8.2	0.27	0.39	7.8	0.039	49.0	208.0	0.9976	3.31	0.51	9.5
233	1	7.2	0.23	0.38	14.3	0.058	55.0	194.0	0.9979	3.09	0.44	9.0
234	1	7.2	0.23	0.38	14.3	0.058	55.0	194.0	0.9979	3.09	0.44	9.0
235	1	7.2	0.23	0.38	14.3	0.058	55.0	194.0	0.9979	3.09	0.44	9.0
236	1	7.2	0.23	0.38	14.3	0.058	55.0	194.0	0.9979	3.09	0.44	9.0
237	1	6.8	0.52	0.32	13.2	0.044	54.0	221.0	0.9972	3.27	0.5	9.6
238	1	7.0	0.26	0.59	1.4	0.037	40.0	120.0	0.9918	3.34	0.41	11.1
239	1	6.2	0.25	0.21	15.55	0.039	28.0	159.0	0.9982	3.48	0.64	9.6
240	1	7.3	0.32	0.23	13.7	0.05	49.0	197.0	0.9985	3.2	0.46	8.7
241	1	7.7	0.31	0.26	7.8	0.031	23.0	90.0	0.9944	3.13	0.5	10.4
242	1	7.1	0.21	0.37	2.4	0.026	23.0	100.0	0.9903	3.15	0.38	11.4
243	1	6.8	0.24	0.34	2.7	0.047	64.5	218.5	0.9934	3.3	0.58	9.7
244	1	6.9	0.4	0.56	11.2	0.043	40.0	142.0	0.9975	3.14	0.46	8.7
245	1	6.1	0.18	0.36	2.0	0.038	20.0	249.5	0.9923	3.37	0.79	11.3
246	1	6.8	0.21	0.27	2.1	0.03	26.0	139.0	0.99	3.16	0.61	12.6
247	1	5.8	0.2	0.27	1.4	0.031	12.0	77.0	0.9905	3.25	0.36	10.9
248	1	5.6	0.19	0.26	1.4	0.03	12.0	76.0	0.9905	3.25	0.37	10.9
249	1	7.2165793124710955	0.41	0.14	10.4	0.037	18.0	119.0	0.996	3.38	0.45	10.0
250	1	5.9	0.21	0.28	4.6	0.053	40.0	199.0	0.9964	3.72	0.7	10.0
251	1	8.5	0.26	0.21	16.2	0.074	41.0	197.0	0.998	3.02	0.5	9.8
252	1	6.9	0.4	0.56	11.2	0.043	40.0	142.0	0.9975	3.14	0.46	8.7
253	1	5.8	0.24	0.44	3.5	0.029	5.0	109.0	0.9913	3.53	0.43	11.7
254	1	5.8	0.24	0.39	1.5	0.054	37.0	158.0	0.9932	3.21	0.52	9.3
255	1	6.7	0.26	0.39	1.1	0.04	45.0	147.0	0.9935	3.32	0.58	9.6
256	1	6.3	0.35	0.3	5.7	0.035	8.0	97.0	0.9927	3.27	0.41	11.0
257	1	6.3	0.35	0.3	5.7	0.035	8.0	97.0	0.9927	3.27	0.41	11.0
258	1	6.4	0.23	0.39	1.8	0.032	23.0	118.0	0.9912	3.32	0.5	11.8
259	1	5.8	0.36	0.38	0.9	0.037	3.0	75.0	0.9904	3.28	0.34	11.4
260	1	6.9	0.115	0.35	5.4	0.048	36.0	108.0	0.9939	3.32	0.42	10.2
261	1	6.9	0.29	0.4	19.45	0.043	36.0	156.0	0.9996	2.93	0.47	8.9
262	1	6.9	0.28	0.4	8.2	0.036	15.0	95.0	0.9944	3.17	0.33	10.2
263	1	7.2	0.29	0.4	13.6	0.045	66.0	231.0	0.9977	3.08	0.59	9.6
264	1	6.2	0.24	0.35	1.2	0.038	22.0	167.0	0.9912	3.1	0.48	10.6
265	1	6.9	0.29	0.4	19.45	0.043	36.0	156.0	0.9996	2.93	0.47	8.9
266	1	6.9	0.32	0.26	8.3	0.053	32.0	180.0	0.9965	3.25	0.51	9.2
267	1	7.2165793124710955	0.58	0.07	6.9	0.043	34.0	149.0	0.9944	3.34	0.57	9.7
268	1	5.3	0.585	0.3187218971358176	7.1	0.044	34.0	145.0	0.9945	3.34	0.57	9.7
269	1	5.4	0.59	0.07	7.0	0.045	36.0	147.0	0.9944	3.34	0.57	9.7
270	1	6.9	0.32	0.26	8.3	0.053	32.0	180.0	0.9965	3.25	0.51	9.2
271	1	5.2	0.6	0.07	7.0	0.044	33.0	147.0	0.9944	3.33	0.58	9.7
272	1	5.8	0.25	0.26	13.1	0.051	44.0	148.0	0.9972	3.29	0.38	9.3
273	1	6.6	0.58	0.3	5.1	0.057	30.0	123.0	0.9949	3.24	0.38	9.0
274	1	7.0	0.29	0.54	10.7	0.046	59.0	234.0	0.9966	3.05	0.61	9.5
275	1	6.6	0.19	0.41	8.9	0.046	51.0	169.0	0.9954	3.14	0.57	9.8
276	1	6.7	0.2	0.41	9.1	0.044	50.0	166.0	0.9954	3.14	0.58	9.8
277	1	7.7	0.26	0.4	1.1	0.042	9.0	60.0	0.9915	2.89	0.5	10.6
278	1	6.8	0.32	0.34	1.2	0.044	14.0	67.0	0.9919	3.05	0.47	10.6
279	1	7.0	0.3	0.49	4.7	0.036	17.0	105.0	0.9916	3.26	0.68	12.4
280	1	7.0	0.24	0.36	2.8	0.034	22.0	112.0	0.99	3.19	0.38	12.6
281	1	6.1	0.31	0.58	5.0	0.039	36.0	114.0	0.9909	3.3	0.6	12.3
